1.0,0.3511588,0.3501588,[ 1.         -3.897603    0.0690335  -2.3561945   1.6476836   0.79386634],2,0.0
1.0,0.5126162,0.51161623,[-1.         -4.0883374  -0.11166361 -1.701696    1.8436905   0.06469583],1,0.0
1.0,0.6417015,0.64070153,[-2.         -4.216345   -0.11762103 -1.701696    2.0016878   0.29591748],4,0.0
1.0,0.31640166,0.31540167,[ 1.5        -4.0588555  -0.07567678 -2.3561945   1.8121318   0.7332726 ],2,0.0
1.0,0.5668526,0.56585264,[-1.         -4.134551   -0.10685263 -1.701696    1.9228884   0.30545372],0,0.0
1.0,6.272522,6.271522,[-2.         -4.4880357  -0.2216821  -2.0943952   2.256393    0.63703287],0,-5.095053
1.0,0.6195913,0.6185913,[-2.         -4.3007555  -0.14834662 -1.9634954   2.0802684   0.54123485],3,0.0
1.0,0.4332257,0.4322257,[-2.         -3.9820929  -0.01545636 -2.2252948   1.7330112   0.6264382 ],1,0.0
1.0,0.60425085,0.60325086,[-1.         -4.044872   -0.10195789 -1.5707964   1.8355075   0.18292807],0,0.0
1.0,0.55008584,0.54908586,[-1.5        -4.0475445  -0.06567917 -2.2252948   1.8003336   0.6062868 ],2,0.0
1.0,0.0057755243,0.004775524,[-0.5        -4.0075     -0.1        -1.5707964   1.8694192   0.30222052],0,0.0
1.0,0.35484272,0.35384274,[ 0.5        -4.1326675  -0.13848461 -1.9634954   1.8898124   0.31692424],4,0.0
1.0,6.1967354,6.1957355,[-2.5        -4.4643736  -0.24162143 -1.5707964   2.229442   -0.10325012],4,-5.0992966
1.0,0.6760673,0.6750673,[-1.5        -4.230621   -0.19511661 -1.9634954   1.9922359   0.29799962],2,0.0
1.0,0.5191218,0.51812184,[-0.5        -4.095773   -0.11264256 -1.701696    1.851175    0.06449801],4,0.0
1.0,0.36825687,0.36725688,[-1.5        -4.142747   -0.13873054 -2.2252948   1.8998812   0.57893074],1,0.0
1.0,0.32294983,0.32194984,[-1.         -4.1738086  -0.15658525 -2.2252948   1.9322493   0.57282597],1,0.0
1.0,0.8027422,0.8017422,[-2.         -4.316293   -0.22212626 -1.8325957   2.0801437   0.16008991],2,0.0
1.0,0.38266784,0.38166785,[ 1.         -3.9455457   0.03347976 -2.2252948   1.695605    0.647302  ],2,0.0
1.0,0.6364924,0.6354924,[-0.5       -4.022372  -0.1       -1.4398966  1.777109  -0.1940435],0,0.0
1.0,0.055648815,0.054648817,[-0.5        -4.432564   -0.1274105  -1.3089969   2.1842685  -0.29679257],4,0.0
1.0,0.06887485,0.06787485,[-1.         -3.921169    0.03992959 -2.3561945   1.6711915   0.7809642 ],2,0.0
1.0,0.10417797,0.103177965,[-1.         -4.120023   -0.1304544  -1.5707964   1.8720647  -0.04064702],4,0.0
1.0,0.08556147,0.08456147,[-1.         -4.1648946  -0.1324123  -1.5707964   1.9169788  -0.04069982],0,0.0
1.0,0.26006705,0.25906706,[ 1.         -4.0868325  -0.15641096 -1.8325957   1.840109    0.20997073],3,0.0
1.0,0.07425399,0.07325399,[ 0.5        -3.8824308   0.08559024 -2.3561945   1.6327144   0.8013392 ],2,0.0
1.0,0.07721765,0.07621765,[-2.5        -4.208015   -0.17892614 -2.0943952   2.0408094   0.77466476],1,0.0
1.0,0.1955948,0.1945948,[ 1.         -4.0306234  -0.13733053 -2.0943952   1.7830416   0.47854424],4,0.0
1.0,0.1904002,0.1894002,[-2.5        -4.4117527  -0.1324123  -1.701696    2.163651    0.09383433],1,0.0
1.0,6.2559714,6.2549715,[-3.         -4.496039   -0.35312945 -2.0943952   2.286544    0.6913209 ],2,-5.149727
1.0,0.24435551,0.24335551,[ 0.5       -4.3446727 -0.1419607 -1.3089969  2.0969975 -0.3033244],1,0.0
1.0,0.48511153,0.48411155,[ 1.         -3.9214814  -0.03261839 -1.9634954   1.6737876   0.43774122],1,0.0
